typecode roc halfroc offset
ML-F 0 0 -6
ML-F 0 1 2
ML-F 1 0 -6
ML-F 1 1 2
ML-F 2 0 -6
ML-F 2 1 2
ML-L 0 0 4
ML-L 0 1 9
ML-L 1 0 -9
ML-R 0 0 -17
ML-R 0 1 -25
ML-R 1 0 -3
ML-T 0 0 39
ML-T 0 1 -55
ML-T 1 0 -18 
ML-B 0 0 2
ML-B 0 1 -2
ML-B 1 0 5
ML-5 0 0 -16
ML-5 0 1 9
ML-5 1 0 4
ML-5 2 0 3
ML-5 2 1 -9
MH-F 0 0 -4
MH-F 0 1 7
MH-F 1 0 -5
MH-F 1 1 1
MH-F 2 0 -4
MH-F 2 1 7
MH-F 3 0 -5
MH-F 3 1 1
MH-F 4 0 -4
MH-F 4 1 7
MH-F 5 0 -5
MH-F 5 1 1
MH-B 0 0 11
MH-B 0 1 -7
MH-B 1 0 4
MH-B 1 1 0 #No calibration cell
MH-B 2 0 4
MH-B 2 1 12
MH-B 3 0 -4
MH-B 3 1 -15
MH-T 0 0 5
MH-T 0 1 13
MH-T 1 0 43
MH-T 1 1 -91
MH-T 2 0 -79
MH-L 0 0 3
MH-L 0 1 8
MH-L 1 0 53
MH-L 1 1 -8
MH-R 0 0 -8
MH-R 0 1 -1
MH-R 1 0 45
MH-R 1 1 -14
